id_payload_record	target_value_uuid	value_level_enum	fk_pset	json_payload (EMP_FISCALCODE)	generation_date	validity_start_date	validity_end_date	created_at	created_by	deleted_at	deleted_by
1		L4	2	A48245849							
2		L4	2	A20028510							
3		L4	2	B31721541							
4		L4	2	B33762311							
5		L4	2	B48527139							
6		L4	2	A48125488							
7		L4	2	B48149538							
8		L4	2	B17423971							
9		L4	2	A48028435							
10		L4	2	A46146387							
11		L4	2	B48162663							
12		L4	2	J17768078							
13		L4	2	A43123819							
14		L4	2	J01504943							
15		L4	2	B64143639							
16		L4	2	A08002071							
17		L4	2	A08304956							
18		L4	2	A48425217							
19		L4	2	A29011788							
20		L4	2	A46141360							
21		L4	2	A48028771							
22		L4	2	A20014294							
23		L4	2	A81260174							
24		L4	2	A48143281							
25		L4	2	A48135899							
26		L4	2	A31034448							
27		L4	2	A81250506							
28		L4	2	A28014866							
29		L4	2	S3100001I							
30		L4	2	Q4800643J							
31		L4	2	P2000000F							
32		L4	2	P0700002J							
33		L4	2	P3301600G							
34		L4	2	Q2801660H							
35		L4	2	U57218677							
36		L4	2	U88220023							
37		L4	2	U01509650							
38		L4	2	U82813583							
39		L4	2	U48464323							
40		L4	2	U95914659							
41		L4	2	U20836522							
42		L4	2	U95655435							
43		L4	2	U48123456*							
44		L4	2	U15982125							
45		L4	2	A48763148							
46		L4	2	A41017088							
