id_payload_record	target_value_uuid	value_level_enum	fk_pset	json_payload (EMP_FISCALCOUNTRY)	generation_date	validity_start_date	validity_end_date	created_at	created_by	deleted_at	deleted_by
1		L4	2	ESPAÑA							
2		L4	2	ESPAÑA							
3		L4	2	ESPAÑA							
4		L4	2	ESPAÑA							
5		L4	2	ESPAÑA							
6		L4	2	ESPAÑA							
7		L4	2	ESPAÑA							
8		L4	2	ESPAÑA							
9		L4	2	ESPAÑA							
10		L4	2	ESPAÑA							
11		L4	2	ESPAÑA							
12		L4	2	ESPAÑA							
13		L4	2	ESPAÑA							
14		L4	2	ESPAÑA							
15		L4	2	ESPAÑA							
16		L4	2	ESPAÑA							
17		L4	2	ESPAÑA							
18		L4	2	ESPAÑA							
19		L4	2	ESPAÑA							
20		L4	2	ESPAÑA							
21		L4	2	ESPAÑA							
22		L4	2	ESPAÑA							
23		L4	2	ESPAÑA							
24		L4	2	ESPAÑA							
25		L4	2	ESPAÑA							
26		L4	2	ESPAÑA							
27		L4	2	ESPAÑA							
28		L4	2	ESPAÑA							
29		L4	2	ESPAÑA							
30		L4	2	ESPAÑA							
31		L4	2	ESPAÑA							
32		L4	2	ESPAÑA							
33		L4	2	ESPAÑA							
34		L4	2	ESPAÑA							
35		L4	2	ESPAÑA							
36		L4	2	ESPAÑA							
37		L4	2	ESPAÑA							
38		L4	2	ESPAÑA							
39		L4	2	ESPAÑA							
40		L4	2	ESPAÑA							
41		L4	2	ESPAÑA							
42		L4	2	ESPAÑA							
43		L4	2	ESPAÑA							
44		L4	2	ESPAÑA							
45		L4	2	ESPAÑA							
46		L4	2	ESPAÑA							
