id_payload_record	target_value_uuid	value_level_enum	fk_pset	json_payload (EMP_FISCALCP)	generation_date	validity_start_date	validity_end_date	created_at	created_by	deleted_at	deleted_by
1		L4	2	48115							
2		L4	2	31780							
3		L4	2	8940							
4		L4	2	33510							
5		L4	2	48213							
6		L4	2	48510							
7		L4	2	48001							
8		L4	2	17520							
9		L4	2	48001							
10		L4	2	28001							
11		L4	2	48215							
12		L4	2	17537							
13		L4	2	43201							
14		L4	2	1001							
15		L4	2	8221							
16		L4	2	8014							
17		L4	2	28037							
18		L4	2	48150							
19		L4	2	28050							
20		L4	2	28003							
21		L4	2	48011							
22		L4	2	20018							
23		L4	2	28005							
24		L4	2	48215							
25		L4	2	48008							
26		L4	2	31740							
27		L4	2	28042							
28		L4	2	28001							
29		L4	2	31002							
30		L4	2	48001							
31		L4	2	20004							
32		L4	2	7001							
33		L4	2	33450							
34		L4	2	28020							
35		L4	2	28020							
36		L4	2	28042							
37		L4	2	48150							
38		L4	2	28037							
39		L4	2	48011							
40		L4	2	48001							
41		L4	2	20018							
42		L4	2	48001							
43		L4	2	28046							
44		L4	2	15008							
45		L4	2	48013							
46		L4	2	41019							
