id_payload_record	target_value_uuid	value_level_enum	fk_pset	json_payload (EMP_FISCALNAME)	generation_date	validity_start_date	validity_end_date	created_at	created_by	deleted_at	deleted_by
1		L4	2	AURTENETXEA, S.A.             							
2		L4	2	VERKOL S.A.							
3		L4	2	MASTER BUILDERS SOLUTIONS ESPAÑA, S.L.U.							
4		L4	2	MAXMEN, S.L.							
5		L4	2	COMERCIAL ARBERE, S.L.							
6		L4	2	MIRAMAR GUNITADOS, S.A.							
7		L4	2	SAIGO S.L.							
8		L4	2	TRACTAMENTS AMBIENTALS DELS PIRINEUS SLU							
9		L4	2	ASFALTADOS OLARRA, S.A.							
10		L4	2	COBRA INSTALACIONES Y SERVICIOS, S.A.							
11		L4	2	MONTAJES ELECTRICOS SAN IGNACIO, S.L.							
12		L4	2	MANTENIMENT I SERVEIS LA MOLINA, S.C.							
13		L4	2	VIVANCO HERNANDEZ, S.A.							
14		L4	2	COBILAN, S.C.							
15		L4	2	HERCAL DIGGERS, S.L.							
16		L4	2	COMSA, S.A.							
17		L4	2	COMSA INSTALACIONES Y SISTEMAS, S.A.U.							
18		L4	2	NORTUNEL, S.A.							
19		L4	2	CONSTRUCCIONES SÁNCHEZ DOMÍNGUEZ-SANDO, S.A.							
20		L4	2	ROVER INFRAESTRUCTURAS, S.A.							
21		L4	2	CYCASA CANTERAS Y CONSTRUCCIONES, S.A.							
22		L4	2	CAMPEZO OBRAS Y SERVICIOS, S.A.							
23		L4	2	GEOTUNEL, S.L.							
24		L4	2	CONSTRUCCIONES IZA, S.A.							
25		L4	2	ZUBIEDER, S.A.							
26		L4	2	CONSTRUCCIONES MARIEZCURRENA, S.L.							
27		L4	2	FERROVIAL CONSTRUCCIÓN, S.A.							
28		L4	2	MINERA SANTA MARTA, S.A.							
29		L4	2	COMUNIDAD FORAL DE NAVARRA							
30		L4	2	EUSKAL TRENBIDE SAREA							
31		L4	2	DIPUTACIÓN FORAL DE GIPUZKOA							
32		L4	2	CONSELL INSULAR DE MALLORCA							
33		L4	2	AYUNTAMIENTO DE CASTRILLÓN							
34		L4	2	ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS							
35		L4	2	UTE TÚNEL PEGUERA							
36		L4	2	UTE TÚNEL DE RANTE							
37		L4	2	UTE SISTEMA MARKIJANA							
38		L4	2	UTE SECTOR 3							
39		L4	2	UTE SALIDAS DE EMERGENCIA							
40		L4	2	UTE L5 GALDAKAO HOSPITAL							
41		L4	2	UTE IRAETA							
42		L4	2	UTE GOROSMENDI BI							
43		L4	2	UTE ALTZA GALTZARABORDA							
44		L4	2	UTE ADIANTE							
45		L4	2	Construcciones y Promociones Balzola, S.A.							
46		L4	2	AZVI, S.A.U.							
