id_tipo;nombre;categoria;subCategoria;nivel;icono;tipos_hijo_permitidos;max_count_per_parent
OBR;Obras;LUGAR;;L1;#icon-build;"[""PRL"",""SEC""]";""
PRV;Proveedores;LUGAR;;L1;#icon-handshake;"[""PRL"",""SEC""]";""
SED;Sedes;LUGAR;;L1;#icon-office;"[""PRL"",""SEC""]";""
PAR;Parque;LUGAR;;L1;#icon-tractor;"[""PRL"",""BHO"",""BIN"",""BPM"",""CRZ"",""CEL"",""CPH"",""CPN"",""CDI"",""DAR"",""RET"",""GDI"",""J2B"",""J3B"",""MTE"",""MPI"",""MHI"",""NAG"",""CCO"",""CPB"",""PIL"",""PEL"",""RGU"",""TIL"",""VEN""]";""
CLI;Clientes;LUGAR;;L1;#icon-handshake;"[""PRL"",""SEC""]";""
PRL;Principal;DELEGACION;ALMACEN;L2;;[];1
SEC;Secundario;DELEGACION;ALMACEN;L2;;[];""
BHO;Bomba de Hormigón;DELEGACION;MAQUINARIA;L2;;[];""
BIN;Bomba Inyectadora;DELEGACION;MAQUINARIA;L2;;[];""
BPM;Bomba Proy. Membrana;DELEGACION;MAQUINARIA;L2;;[];""
CRZ;Cabeza Rozadora;DELEGACION;MAQUINARIA;L2;;[];""
CEL;Carretilla Elevadora;DELEGACION;MAQUINARIA;L2;;[];""
CPH;Carro Perf. Hidráulico;DELEGACION;MAQUINARIA;L2;;[];""
CPN;Carro Perf. Neumático;DELEGACION;MAQUINARIA;L2;;[];""
CDI;Compresor Diesel;DELEGACION;MAQUINARIA;L2;;[];""
DAR;Dúmper Articulado;DELEGACION;MAQUINARIA;L2;;[];""
RET;Retroexcavadora;DELEGACION;MAQUINARIA;L2;;[];""
GDI;Generador Diesel;DELEGACION;MAQUINARIA;L2;;[];""
J2B;Jumbo (2 brazo);DELEGACION;MAQUINARIA;L2;;[];""
J3B;Jumbo (3 brazos);DELEGACION;MAQUINARIA;L2;;[];""
MTE;Manipuldora Telescópica;DELEGACION;MAQUINARIA;L2;;[];""
MPI;Máquina de Pintar;DELEGACION;MAQUINARIA;L2;;[];""
MHI;Martillo Hidráulico;DELEGACION;MAQUINARIA;L2;;[];""
NAG;Nagolitera;DELEGACION;MAQUINARIA;L2;;[];""
CCO;Cargadora Convencional;DELEGACION;MAQUINARIA;L2;;[];""
CPB;Cargadora de Perfil Bajo;DELEGACION;MAQUINARIA;L2;;[];""
PIL;Planta de Inyec. Lechada;DELEGACION;MAQUINARIA;L2;;[];""
PEL;Plataforma Elevadora;DELEGACION;MAQUINARIA;L2;;[];""
RGU;Robot de Gunitado;DELEGACION;MAQUINARIA;L2;;[];""
TIL;Torre de Iluminación;DELEGACION;MAQUINARIA;L2;;[];""
VEN;Ventilador;DELEGACION;MAQUINARIA;L2;;[];""
PST;Propiedades (PSet);PSET;;L1B;#icon-pset;[];""
